IDText,Kelas
TXT0264,Politik
TXT0265,Ekonomi
TXT0266,Politik
TXT0267,Ekonomi
TXT0268,Politik
TXT0269,Politik
TXT0270,Politik
TXT0271,Politik
TXT0272,Ekonomi
TXT0273,Politik
TXT0274,Ekonomi
TXT0275,Politik
TXT0276,Politik
TXT0277,Politik
TXT0278,Politik
TXT0279,Ekonomi
TXT0280,Pertahanan dan Keamanan
TXT0281,Pertahanan dan Keamanan
TXT0282,Ekonomi
TXT0283,Politik
TXT0284,Politik
TXT0285,Politik
TXT0286,Politik
TXT0287,Politik
TXT0288,Demografi
TXT0289,Politik
TXT0290,Politik
TXT0291,Politik
TXT0292,Politik
TXT0293,Sosial Budaya
TXT0294,Politik
TXT0295,Politik
TXT0296,Politik
TXT0297,Politik
TXT0298,Politik
TXT0299,Ekonomi
TXT0300,Politik
TXT0301,Politik
TXT0302,Ekonomi
TXT0303,Politik
TXT0304,Politik
TXT0305,Ideologi
TXT0306,Politik
TXT0307,Politik
TXT0308,Politik
TXT0309,Ekonomi
TXT0310,Politik
TXT0311,Ekonomi
TXT0312,Ekonomi
TXT0313,Politik
TXT0314,Ekonomi
TXT0315,Politik
TXT0316,Politik
TXT0317,Ideologi
TXT0318,Politik
TXT0319,Politik
TXT0320,Ideologi
TXT0321,Politik
TXT0322,Politik
TXT0323,Politik
TXT0324,Politik
TXT0325,Politik
TXT0326,Politik
TXT0327,Politik
TXT0328,Politik
TXT0329,Politik
TXT0330,Politik
TXT0331,Pertahanan dan Keamanan
TXT0332,Pertahanan dan Keamanan
TXT0333,Politik
TXT0334,Pertahanan dan Keamanan
TXT0335,Politik
TXT0336,Ekonomi
TXT0337,Politik
TXT0338,Politik
TXT0339,Politik
TXT0340,Politik
TXT0341,Demografi
TXT0342,Politik
TXT0343,Politik
TXT0344,Ekonomi
TXT0345,Pertahanan dan Keamanan
TXT0346,Politik
TXT0347,Politik
TXT0348,Politik
TXT0349,Pertahanan dan Keamanan
TXT0350,Politik
TXT0351,Politik
TXT0352,Politik
TXT0353,Politik
TXT0354,Politik
TXT0355,Politik
TXT0356,Politik
TXT0357,Politik
TXT0358,Politik
TXT0359,Politik
TXT0360,Politik
TXT0361,Politik
TXT0362,Politik
TXT0363,Politik
TXT0364,Politik
TXT0365,Ekonomi
TXT0366,Politik
TXT0367,Ekonomi
TXT0368,Politik
TXT0369,Pertahanan dan Keamanan
TXT0370,Politik
TXT0371,Politik
TXT0372,Politik
TXT0373,Politik
TXT0374,Politik
TXT0375,Pertahanan dan Keamanan
TXT0376,Politik
TXT0377,Politik
TXT0378,Politik
TXT0379,Politik
TXT0380,Pertahanan dan Keamanan
TXT0381,Politik
TXT0382,Politik
TXT0383,Ekonomi
TXT0384,Politik
TXT0385,Politik
TXT0386,Politik
TXT0387,Politik
TXT0388,Ekonomi
TXT0389,Politik
TXT0390,Politik
TXT0391,Politik
TXT0392,Politik
TXT0393,Politik
TXT0394,Ekonomi
TXT0395,Politik
TXT0396,Politik
TXT0397,Politik
TXT0398,Ideologi
TXT0399,Politik
TXT0400,Politik
TXT0401,Politik
TXT0402,Politik
TXT0403,Politik
TXT0404,Politik
TXT0405,Politik
TXT0406,Politik
TXT0407,Ideologi
TXT0408,Politik
TXT0409,Politik
TXT0410,Sosial Budaya
TXT0411,Politik
TXT0412,Politik
TXT0413,Politik
TXT0414,Politik
TXT0415,Politik
TXT0416,Politik
TXT0417,Politik
TXT0418,Politik
TXT0419,Politik
TXT0420,Politik
TXT0421,Politik
TXT0422,Ekonomi
TXT0423,Politik
TXT0424,Politik
TXT0425,Politik
TXT0426,Politik
TXT0427,Politik
TXT0428,Politik
TXT0429,Ekonomi
TXT0430,Politik
TXT0431,Politik
TXT0432,Sosial Budaya
TXT0433,Geografi
TXT0434,Politik
TXT0435,Geografi
TXT0436,Politik
TXT0437,Politik
TXT0438,Politik
TXT0439,Politik
TXT0440,Politik
TXT0441,Politik
TXT0442,Ekonomi
TXT0443,Politik
TXT0444,Politik
TXT0445,Politik
TXT0446,Politik
TXT0447,Politik
TXT0448,Politik
TXT0449,Politik
TXT0450,Politik
TXT0451,Politik
TXT0452,Politik
TXT0453,Ekonomi
TXT0454,Politik
TXT0455,Politik
TXT0456,Politik
TXT0457,Politik
TXT0458,Demografi
TXT0459,Ideologi
TXT0460,Ekonomi
TXT0461,Politik
TXT0462,Politik
TXT0463,Ekonomi
TXT0464,Politik
TXT0465,Politik
TXT0466,Politik
TXT0467,Politik
TXT0468,Politik
TXT0469,Politik
TXT0470,Politik
TXT0471,Politik
TXT0472,Politik
TXT0473,Sosial Budaya
TXT0474,Politik
TXT0475,Politik
TXT0476,Politik
TXT0477,Politik
TXT0478,Pertahanan dan Keamanan
TXT0479,Politik
TXT0480,Ekonomi
TXT0481,Politik
TXT0482,Politik
TXT0483,Politik
TXT0484,Politik
TXT0485,Politik
TXT0486,Politik
TXT0487,Sosial Budaya
TXT0488,Politik
TXT0489,Politik
TXT0490,Politik
TXT0491,Politik
TXT0492,Ekonomi
TXT0493,Politik
TXT0494,Demografi
TXT0495,Politik
TXT0496,Ekonomi
TXT0497,Politik
TXT0498,Politik
TXT0499,Ekonomi
TXT0500,Sosial Budaya
TXT0501,Politik
TXT0502,Politik
TXT0503,Politik
TXT0504,Politik
TXT0505,Politik
TXT0506,Ideologi
TXT0507,Ideologi
TXT0508,Politik
TXT0509,Politik
TXT0510,Politik
TXT0511,Politik
TXT0512,Ekonomi
TXT0513,Politik
TXT0514,Politik
TXT0515,Politik
TXT0516,Politik
TXT0517,Politik
TXT0518,Ekonomi
TXT0519,Politik
TXT0520,Politik
TXT0521,Politik
TXT0522,Politik
TXT0523,Politik
TXT0524,Politik
TXT0525,Pertahanan dan Keamanan
TXT0526,Ekonomi
TXT0527,Politik
TXT0528,Politik
TXT0529,Politik
TXT0530,Politik
TXT0531,Politik
TXT0532,Politik
TXT0533,Pertahanan dan Keamanan
TXT0534,Politik
TXT0535,Politik
TXT0536,Politik
TXT0537,Politik
TXT0538,Politik
TXT0539,Politik
TXT0540,Politik
TXT0541,Sumber Daya Alam
TXT0542,Politik
TXT0543,Politik
TXT0544,Politik
TXT0545,Politik
TXT0546,Politik
TXT0547,Politik
TXT0548,Ekonomi
TXT0549,Ekonomi
TXT0550,Politik
TXT0551,Politik
TXT0552,Politik
TXT0553,Politik
TXT0554,Politik
TXT0555,Politik
TXT0556,Politik
TXT0557,Pertahanan dan Keamanan
TXT0558,Politik
TXT0559,Politik
TXT0560,Politik
TXT0561,Politik
TXT0562,Ideologi
TXT0563,Pertahanan dan Keamanan
TXT0564,Geografi
TXT0565,Ekonomi
TXT0566,Sumber Daya Alam
TXT0567,Ekonomi
TXT0568,Ekonomi
TXT0569,Pertahanan dan Keamanan
TXT0570,Ekonomi
TXT0571,Politik
TXT0572,Geografi
TXT0573,Politik
TXT0574,Politik
TXT0575,Politik
TXT0576,Ekonomi
TXT0577,Politik
TXT0578,Politik
TXT0579,Politik
TXT0580,Politik
TXT0581,Politik
TXT0582,Politik
TXT0583,Pertahanan dan Keamanan
TXT0584,Politik
TXT0585,Politik
TXT0586,Politik
TXT0587,Politik
TXT0588,Ekonomi
TXT0589,Sumber Daya Alam
TXT0590,Politik
TXT0591,Politik
TXT0592,Politik
TXT0593,Demografi
TXT0594,Politik
TXT0595,Politik
TXT0596,Politik
TXT0597,Politik
TXT0598,Ekonomi
TXT0599,Sosial Budaya
TXT0600,Ideologi
TXT0601,Politik
TXT0602,Politik
TXT0603,Politik
TXT0604,Politik
TXT0605,Politik
TXT0606,Politik
TXT0607,Politik
TXT0608,Politik
TXT0609,Politik
TXT0610,Ekonomi
TXT0611,Politik
TXT0612,Politik
TXT0613,Politik
TXT0614,Politik
TXT0615,Politik
TXT0616,Politik
TXT0617,Politik
TXT0618,Politik
TXT0619,Politik
TXT0620,Politik
TXT0621,Politik
TXT0622,Politik
TXT0623,Politik
TXT0624,Politik
TXT0625,Politik
TXT0626,Sumber Daya Alam
TXT0627,Politik
TXT0628,Politik
TXT0629,Politik
TXT0630,Pertahanan dan Keamanan
TXT0631,Politik
TXT0632,Pertahanan dan Keamanan
TXT0633,Politik
TXT0634,Politik
TXT0635,Politik
TXT0636,Ekonomi
TXT0637,Politik
TXT0638,Demografi
TXT0639,Politik
TXT0640,Politik
TXT0641,Pertahanan dan Keamanan
TXT0642,Politik
TXT0643,Ekonomi
TXT0644,Politik
TXT0645,Politik
TXT0646,Politik
TXT0647,Politik
TXT0648,Politik
TXT0649,Politik
TXT0650,Politik
TXT0651,Politik
TXT0652,Politik
TXT0653,Politik
TXT0654,Politik
TXT0655,Demografi
TXT0656,Politik
TXT0657,Politik
TXT0658,Politik
TXT0659,Pertahanan dan Keamanan
TXT0660,Politik
TXT0661,Politik
TXT0662,Demografi
TXT0663,Politik
TXT0664,Ekonomi
TXT0665,Politik
TXT0666,Politik
TXT0667,Politik
TXT0668,Politik
TXT0669,Politik
TXT0670,Politik
TXT0671,Politik
TXT0672,Politik
TXT0673,Pertahanan dan Keamanan
TXT0674,Politik
TXT0675,Politik
TXT0676,Politik
TXT0677,Politik
TXT0678,Pertahanan dan Keamanan
TXT0679,Politik
TXT0680,Politik
TXT0681,Politik
TXT0682,Politik
TXT0683,Politik
TXT0684,Politik
TXT0685,Ekonomi
TXT0686,Politik
TXT0687,Sosial Budaya
TXT0688,Politik
TXT0689,Politik
TXT0690,Politik
TXT0691,Politik
TXT0692,Politik
TXT0693,Politik
TXT0694,Politik
TXT0695,Sosial Budaya
TXT0696,Demografi
TXT0697,Politik
TXT0698,Ideologi
TXT0699,Politik
TXT0700,Politik
TXT0701,Politik
TXT0702,Politik
TXT0703,Politik
TXT0704,Politik
TXT0705,Geografi
TXT0706,Politik
TXT0707,Politik
TXT0708,Politik
TXT0709,Sosial Budaya
TXT0710,Politik
TXT0711,Politik
TXT0712,Politik
TXT0713,Politik
TXT0714,Politik
TXT0715,Politik
TXT0716,Politik
TXT0717,Politik
TXT0718,Ekonomi
TXT0719,Pertahanan dan Keamanan
TXT0720,Politik
TXT0721,Geografi
TXT0722,Politik
TXT0723,Politik
TXT0724,Politik
TXT0725,Politik
TXT0726,Politik
TXT0727,Ekonomi
TXT0728,Politik
TXT0729,Geografi
TXT0730,Politik
TXT0731,Ideologi
TXT0732,Politik
TXT0733,Politik
TXT0734,Politik
TXT0735,Politik
TXT0736,Politik
TXT0737,Politik
TXT0738,Politik
TXT0739,Politik
TXT0740,Politik
TXT0741,Ekonomi
TXT0742,Politik
TXT0743,Politik
TXT0744,Ekonomi
TXT0745,Politik
TXT0746,Politik
TXT0747,Sosial Budaya
TXT0748,Politik
TXT0749,Geografi
TXT0750,Politik
TXT0751,Politik
TXT0752,Politik
TXT0753,Politik
TXT0754,Politik
TXT0755,Ekonomi
TXT0756,Politik
TXT0757,Politik
TXT0758,Politik
TXT0759,Politik
TXT0760,Politik
TXT0761,Politik
TXT0762,Politik
TXT0763,Politik
TXT0764,Politik
TXT0765,Politik
TXT0766,Pertahanan dan Keamanan
TXT0767,Politik
TXT0768,Politik
TXT0769,Pertahanan dan Keamanan
TXT0770,Politik
TXT0771,Politik
TXT0772,Pertahanan dan Keamanan
TXT0773,Politik
TXT0774,Pertahanan dan Keamanan
TXT0775,Politik
TXT0776,Politik
TXT0777,Politik
TXT0778,Politik
TXT0779,Politik
TXT0780,Politik
TXT0781,Politik
TXT0782,Politik
TXT0783,Politik
TXT0784,Politik
TXT0785,Sosial Budaya
TXT0786,Politik
TXT0787,Politik
TXT0788,Politik
TXT0789,Ideologi
TXT0790,Politik
TXT0791,Politik
TXT0792,Ideologi
TXT0793,Ekonomi
TXT0794,Ekonomi
TXT0795,Politik
TXT0796,Politik
TXT0797,Pertahanan dan Keamanan
TXT0798,Politik
TXT0799,Ekonomi
TXT0800,Politik
TXT0801,Ekonomi
TXT0802,Politik
TXT0803,Politik
TXT0804,Demografi
TXT0805,Politik
TXT0806,Politik
TXT0807,Ekonomi
TXT0808,Politik
TXT0809,Politik
TXT0810,Ekonomi
TXT0811,Politik
TXT0812,Politik
TXT0813,Politik
TXT0814,Politik
TXT0815,Politik
TXT0816,Politik
TXT0817,Ekonomi
TXT0818,Politik
TXT0819,Ideologi
TXT0820,Ekonomi
TXT0821,Politik
TXT0822,Ekonomi
TXT0823,Ekonomi
TXT0824,Politik
TXT0825,Politik
TXT0826,Politik
TXT0827,Ideologi
TXT0828,Politik
TXT0829,Politik
TXT0830,Politik
TXT0831,Politik
TXT0832,Politik
TXT0833,Sumber Daya Alam
TXT0834,Politik
TXT0835,Politik
TXT0836,Politik
TXT0837,Demografi
TXT0838,Politik
TXT0839,Politik
TXT0840,Politik
TXT0841,Politik
TXT0842,Politik
TXT0843,Politik
TXT0844,Politik
TXT0845,Politik
TXT0846,Politik
TXT0847,Politik
TXT0848,Politik
TXT0849,Politik
TXT0850,Politik
TXT0851,Politik
TXT0852,Ideologi
TXT0853,Politik
TXT0854,Politik
TXT0855,Geografi
TXT0856,Ekonomi
TXT0857,Pertahanan dan Keamanan
TXT0858,Politik
TXT0859,Politik
TXT0860,Politik
TXT0861,Politik
TXT0862,Politik
TXT0863,Ekonomi
TXT0864,Pertahanan dan Keamanan
TXT0865,Politik
TXT0866,Politik
TXT0867,Politik
TXT0868,Politik
TXT0869,Politik
TXT0870,Ekonomi
TXT0871,Pertahanan dan Keamanan
TXT0872,Politik
TXT0873,Politik
TXT0874,Politik
TXT0875,Politik
TXT0876,Pertahanan dan Keamanan
TXT0877,Politik
TXT0878,Politik
TXT0879,Ekonomi
TXT0880,Politik
TXT0881,Politik
TXT0882,Demografi
TXT0883,Politik
TXT0884,Politik
TXT0885,Pertahanan dan Keamanan
TXT0886,Politik
TXT0887,Politik
TXT0888,Politik
TXT0889,Demografi
TXT0890,Politik
TXT0891,Politik
TXT0892,Pertahanan dan Keamanan
TXT0893,Politik
TXT0894,Politik
TXT0895,Politik
TXT0896,Politik
TXT0897,Politik
TXT0898,Politik
TXT0899,Politik
TXT0900,Ekonomi
TXT0901,Sumber Daya Alam
TXT0902,Politik
TXT0903,Politik
TXT0904,Politik
TXT0905,Politik
TXT0906,Politik
TXT0907,Pertahanan dan Keamanan
TXT0908,Politik
TXT0909,Politik
TXT0910,Politik
TXT0911,Politik
TXT0912,Politik
TXT0913,Ekonomi
TXT0914,Politik
TXT0915,Politik
TXT0916,Politik
TXT0917,Politik
TXT0918,Pertahanan dan Keamanan
TXT0919,Politik
TXT0920,Ekonomi
TXT0921,Politik
TXT0922,Politik
TXT0923,Politik
TXT0924,Politik
TXT0925,Politik
TXT0926,Politik
TXT0927,Politik
TXT0928,Ekonomi
TXT0929,Pertahanan dan Keamanan
TXT0930,Politik
TXT0931,Politik
TXT0932,Politik
TXT0933,Politik
TXT0934,Politik
TXT0935,Politik
TXT0936,Politik
TXT0937,Ideologi
TXT0938,Politik
TXT0939,Politik
TXT0940,Politik
TXT0941,Ideologi
TXT0942,Politik
TXT0943,Politik
TXT0944,Politik
TXT0945,Politik
TXT0946,Politik
TXT0947,Ekonomi
TXT0948,Politik
TXT0949,Ekonomi
TXT0950,Politik
TXT0951,Politik
TXT0952,Pertahanan dan Keamanan
TXT0953,Politik
TXT0954,Politik
TXT0955,Politik
TXT0956,Politik
TXT0957,Ideologi
TXT0958,Politik
TXT0959,Politik
TXT0960,Politik
TXT0961,Pertahanan dan Keamanan
TXT0962,Politik
TXT0963,Ekonomi
TXT0964,Politik
TXT0965,Politik
TXT0966,Demografi
TXT0967,Politik
TXT0968,Politik
TXT0969,Politik
TXT0970,Politik
TXT0971,Ideologi
TXT0972,Pertahanan dan Keamanan
TXT0973,Politik
TXT0974,Politik
TXT0975,Politik
TXT0976,Politik
TXT0977,Pertahanan dan Keamanan
TXT0978,Politik
TXT0979,Politik
TXT0980,Politik
TXT0981,Politik
TXT0982,Politik
TXT0983,Politik
TXT0984,Politik
TXT0985,Politik
TXT0986,Politik
TXT0987,Pertahanan dan Keamanan
TXT0988,Pertahanan dan Keamanan
TXT0989,Politik
TXT0990,Politik
TXT0991,Politik
TXT0992,Politik
TXT0993,Ideologi
TXT0994,Politik
TXT0995,Politik
TXT0996,Ekonomi
TXT0997,Politik
TXT0998,Politik
TXT0999,Ekonomi
TXT1000,Politik
